Common words in Austronesian and IELEX

WORD 	MEANING_AUSTRO 	AUSTRO_LANGUAGE 	MEANING_IELEX 	IELEX_LANGUAGE
vele 	where?	Teanu 	tail	OLD_SWEDISH
veli 	to buy	Paiwan (Kulalao) 	tail	OLD_NORSE
vet 	Four	Ririo 	fat	DUTCH
vi 	new	Lenakel 	we	DANISH_FJOLDE
vie 	hair	Teanu 	you	MACEDONIAN
visi 	who?	Ambrym, South-East 	all	OLD_CHURCH_SLAVONIC
vita 	heavy	Molima 	know	OLD_SWEDISH
vo 	rotten	Ambrym, South-East 	where	GERMAN
voi 	to buy	Magori (South East Papua) 	you	ITALIAN
vut 	louse	Ririo 	foot	DUTCH
wa 	at	Elat, Kei Besar 	what	NORWEGIAN_RIKSMAL
wan 	tooth	Ubir 	lake	NORWEGIAN_RIKSMAL
war 	red	Wogeo 	where	DUTCH
wara 	shoulder	Lio, Flores Tongah 	wind	MARATHI
was 	water	Elat, Kei Besar 	sharp	ELFDALIAN
we 	water	Jawe 	in	SORBIAN_LOWER
wen 	this	Gapapaiwa 	when	ENGLISH
wes 	woods/forest	Koiwai (Irian Jaya) 	louse	SORBIAN_LOWER
wito 	earth/soil	Wuna 	know	ELFDALIAN
woa 	above	Woleai 	head	SORBIAN_UPPER
wok 	hair	Punan Kelai 	walk	ENGLISH
won 	spider	Tboli (Tagabili) 	bad	NORWEGIAN_RIKSMAL
wot 	rain	Marshallese (E. Dialect) 	wet	ELFDALIAN
wun 	to drink	Chuukese 	he	SORBIAN_UPPER
xap 	red	Anejom (Aneityum) 	snake	ASSAMESE
xara 	to bite	Santa Ana 	mountain	BELARUSIAN
xi 	to eat	Anejom (Aneityum) 	sew	ASSAMESE
yak 	year	Jawe 	I	OLD_SWEDISH
yan 	belly	Ubir 	know	ORIYA
yaw 	stick/wood	Punan Kelai 	hunt	DANISH_FJOLDE
ye 	belly	Marshallese (E. Dialect) 	give	SWEDISH
zar 	they	Ririo 	sing	OSSETIC_DIGOR
zo 	to walk	Ririo 	where	SORBIAN_LOWER
